algorithm,task,width,accuracy
cand0,membership,64,0.513889
cand1,membership,64,0.444444
cand2,membership,64,0.458333
cand3,membership,64,0.625000
cand4,membership,64,0.444444
cand5,membership,64,0.444444
H,membership,512,0.652778
bloom,membership,64,0.930556
pos_bloom,membership,64,0.388889
cms,membership,64,0.555556
vsa,membership,64,0.597222
fnv,membership,64,0.541667
cand0,pair_order,64,0.527778
cand1,pair_order,64,0.430556
cand2,pair_order,64,0.458333
cand3,pair_order,64,0.513889
cand4,pair_order,64,0.625000
cand5,pair_order,64,0.458333
H,pair_order,512,0.444444
bloom,pair_order,64,0.569444
pos_bloom,pair_order,64,0.888889
cms,pair_order,64,0.513889
vsa,pair_order,64,0.569444
fnv,pair_order,64,0.611111
cand0,pattern,64,0.472222
cand1,pattern,64,0.513889
cand2,pattern,64,0.430556
cand3,pattern,64,0.430556
cand4,pattern,64,0.486111
cand5,pattern,64,0.486111
H,pattern,512,0.500000
bloom,pattern,64,0.541667
pos_bloom,pattern,64,0.902778
cms,pattern,64,0.541667
vsa,pattern,64,0.541667
fnv,pattern,64,0.569444
cand0,membership,256,0.430556
cand1,membership,256,0.527778
cand2,membership,256,0.541667
cand3,membership,256,0.569444
cand4,membership,256,0.444444
cand5,membership,256,0.527778
H,membership,512,0.638889
bloom,membership,256,0.930556
pos_bloom,membership,256,0.569444
cms,membership,256,0.652778
vsa,membership,256,0.458333
fnv,membership,256,0.513889
cand0,pair_order,256,0.416667
cand1,pair_order,256,0.500000
cand2,pair_order,256,0.486111
cand3,pair_order,256,0.597222
cand4,pair_order,256,0.736111
cand5,pair_order,256,0.583333
H,pair_order,512,0.500000
bloom,pair_order,256,0.541667
pos_bloom,pair_order,256,1.000000
cms,pair_order,256,0.583333
vsa,pair_order,256,0.583333
fnv,pair_order,256,0.500000
cand0,pattern,256,0.430556
cand1,pattern,256,0.472222
cand2,pattern,256,0.555556
cand3,pattern,256,0.541667
cand4,pattern,256,0.458333
cand5,pattern,256,0.486111
H,pattern,512,0.527778
bloom,pattern,256,0.555556
pos_bloom,pattern,256,0.930556
cms,pattern,256,0.513889
vsa,pattern,256,0.666667
fnv,pattern,256,0.472222
